"ID.","Balance","Qual_miles","cc1_miles","cc2_miles","cc3_miles","Bonus_miles","Bonus_trans","Flight_miles_12mo","Flight_trans_12","Days_since_enroll","Award."
129,602064,0,50000,2500,2500,194753,26,2250,10,7652,1
130,213150,0,32500,2500,2500,56308,41,5200,14,7645,1
131,48333,0,7500,2500,2500,10123,14,0,0,6737,1
132,142175,0,32500,2500,2500,37461,22,0,0,6732,1
133,17469,0,2500,2500,2500,0,0,0,0,6730,1
134,19823,0,2500,2500,2500,1095,3,335,1,6730,1
135,145074,0,2500,2500,2500,8000,4,0,0,6746,1
136,101101,0,2500,2500,2500,10850,11,1850,6,6725,1
137,125948,0,17500,2500,2500,15155,15,0,0,6761,1
138,259484,1776,2500,2500,2500,19172,26,7172,23,6723,1
139,129298,0,32500,2500,2500,29099,15,0,0,6722,0
140,103302,0,32500,2500,2500,53552,22,700,3,6718,1
141,160447,0,2500,2500,2500,8578,25,0,0,6716,1
142,15472,0,2500,2500,2500,3500,14,0,0,6715,0
143,39628,0,2500,2500,2500,0,0,0,0,6711,0
144,6112,0,2500,2500,2500,0,0,0,0,6709,0
145,31769,0,2500,2500,2500,450,2,450,2,6707,0
146,126787,0,32500,2500,2500,35021,17,0,0,6701,0
147,41547,0,17500,2500,2500,16857,17,0,0,6697,0
148,100640,0,2500,2500,2500,7600,8,1600,5,6708,1
149,18707,0,2500,2500,2500,100,1,0,0,6693,0
150,50593,0,50000,2500,2500,58208,17,1500,2,6689,1
151,84631,0,17500,2500,2500,20415,17,0,0,6736,0
152,24868,0,2500,2500,2500,205,5,0,0,6689,0
153,77097,0,32500,2500,2500,42403,22,1718,4,6683,1
154,930410,0,50000,2500,2500,211284,18,2250,6,7640,1
155,298121,0,50000,2500,2500,60808,20,500,1,7640,0
156,87474,0,2500,2500,2500,4581,15,0,0,7634,0
157,48707,0,32500,2500,2500,37655,14,0,0,7631,1
158,220081,0,32500,2500,2500,52574,21,500,1,7626,0
159,212976,0,17500,2500,2500,19926,12,0,0,7624,0
160,44182,0,17500,2500,2500,12313,12,0,0,7619,1
161,228829,0,50000,2500,2500,59852,21,0,0,7612,1
162,46823,0,2500,2500,2500,5860,12,0,0,7613,0
163,69110,0,17500,2500,2500,18500,19,0,0,7598,0
164,120700,0,50000,2500,2500,55323,17,1500,1,7598,1
165,152945,0,2500,2500,2500,18604,6,3604,2,7598,1
166,10302,0,32500,2500,2500,30298,19,0,0,7591,1
167,80331,0,17500,2500,2500,15489,18,0,0,7634,1
168,69882,0,2500,2500,2500,180,6,0,0,7582,0
169,95658,0,2500,2500,2500,5269,18,0,0,7584,0
170,402874,0,50000,2500,2500,74800,15,0,0,7582,1
171,370941,0,32500,2500,2500,44615,16,0,0,7577,1
172,21694,0,32500,2500,2500,45230,20,700,2,7575,1
173,71767,0,50000,2500,2500,67335,13,0,0,7570,1
174,35820,0,2500,2500,2500,0,0,0,0,7575,0
175,352508,0,17500,2500,2500,23740,6,1000,2,7563,1
176,149285,0,2500,2500,2500,15656,13,3250,6,7561,1
177,120941,0,32500,2500,2500,42301,21,0,0,7588,0
178,451673,0,32500,2500,2500,43533,19,900,4,7575,1
179,106961,0,2500,2500,2500,7357,19,200,2,7572,1
180,28086,1745,7500,2500,2500,7368,12,0,0,7549,1
181,60230,0,2500,2500,2500,500,1,0,0,7544,1
182,6663,0,2500,2500,2500,1125,7,750,4,7575,1
183,48145,0,2500,2500,2500,10735,27,0,0,7540,0
184,127807,0,17500,2500,2500,17086,16,1500,3,7537,1
186,32948,0,2500,2500,2500,50,1,50,1,7569,0
187,8933,0,7500,2500,2500,8860,14,0,0,7533,1
188,49885,0,17500,2500,2500,23640,17,0,0,7533,0
189,89999,0,17500,2500,2500,11694,13,0,0,7530,0
190,707079,0,32500,2500,2500,57173,40,3450,12,7523,1
191,211595,0,2500,2500,2500,3250,8,0,0,7521,0
192,410795,0,50000,2500,2500,73679,31,0,0,7514,0
193,72173,0,2500,2500,2500,2954,13,232,1,7509,0
194,123516,0,50000,2500,2500,240544,31,500,2,7507,1
195,143080,733,32500,2500,2500,44373,38,3928,17,7575,1
196,386061,0,50000,2500,2500,107813,24,0,0,7500,1
197,52738,2398,2500,2500,2500,0,0,0,0,7498,0
198,24523,0,2500,2500,2500,100,1,0,0,7493,1
199,134601,0,2500,2500,2500,0,0,0,0,7493,0
200,32742,0,50000,2500,2500,61857,26,0,0,7488,1
201,108341,0,17500,2500,2500,19670,21,0,0,7488,0
202,8669,0,2500,17500,2500,11397,16,0,0,7486,1
203,118940,0,32500,2500,2500,36001,17,150,1,7484,1
204,41385,0,32500,2500,2500,26948,14,0,0,7481,1
205,28621,0,7500,2500,2500,13878,20,1400,10,7479,1
206,16230,0,2500,2500,2500,486,2,0,0,7477,0
207,152881,0,50000,2500,2500,79687,18,500,1,7474,1
208,37348,0,2500,2500,2500,0,0,0,0,7472,0
209,51468,0,2500,2500,2500,2278,9,0,0,7460,0
210,95989,0,50000,2500,2500,92159,30,1329,4,7518,1
211,23184,1250,2500,2500,2500,3694,12,1150,3,7467,1
212,27381,0,17500,2500,2500,18009,18,0,0,7524,1
213,6854,0,2500,2500,2500,0,0,0,0,7467,0
214,201346,0,50000,2500,2500,99612,34,600,4,7463,1
215,31588,0,2500,2500,2500,2947,8,0,0,7463,0
216,204582,0,2500,2500,2500,4671,14,0,0,7498,0
217,8298,0,17500,2500,2500,20087,15,0,0,7498,1
218,10097,0,2500,2500,2500,2700,1,2700,1,7498,0
219,114356,0,32500,2500,2500,27308,14,0,0,7456,0
220,1344,0,2500,2500,2500,1134,9,0,0,7498,0
221,59797,0,2500,2500,2500,7069,4,0,0,7444,0
222,189053,0,17500,2500,2500,24156,22,0,0,7439,1
223,143481,0,32500,2500,2500,45891,15,0,0,7437,0
224,1302051,2706,50000,2500,2500,90653,32,3050,7,7467,1
225,229744,0,50000,2500,2500,68754,35,550,2,7467,1
226,75039,0,2500,2500,2500,2750,10,250,1,7435,1
227,20203,0,2500,2500,2500,750,6,0,0,7467,0
228,193976,0,17500,2500,2500,10849,14,0,0,7416,0
229,98224,0,7500,2500,2500,5570,11,0,0,7467,0
230,117329,0,2500,7500,2500,6448,11,0,0,7416,1
231,119239,0,32500,2500,2500,36362,15,250,1,7467,1
232,53715,0,7500,2500,2500,7164,15,300,2,7416,0
233,153747,0,50000,2500,2500,58689,15,0,0,7409,0
234,133309,0,17500,2500,2500,23987,13,0,0,7415,1
235,81380,0,50000,2500,2500,56524,22,0,0,7404,1
236,22074,0,2500,2500,2500,6039,15,0,0,7404,0
237,24051,0,7500,2500,2500,8764,13,0,0,7395,1
238,11449,0,7500,2500,2500,9057,13,0,0,7397,1
239,182317,0,7500,2500,2500,19489,17,273,1,7397,1
240,46184,0,2500,2500,2500,3125,12,500,1,7388,0
241,285116,0,2500,2500,2500,8471,18,500,1,7406,1
242,30962,0,50000,2500,2500,97683,37,6400,18,7360,1
243,15525,0,2500,2500,2500,3853,6,0,0,7406,0
244,163530,0,50000,2500,2500,88987,25,0,0,7406,0
245,2075,0,7500,2500,2500,5002,14,0,0,7374,1
246,227881,0,32500,2500,2500,41186,13,0,0,7369,0
247,118934,0,50000,2500,2500,66222,37,2250,17,7354,0
248,468175,0,50000,2500,2500,141615,22,0,0,7348,1
249,12526,0,32500,2500,2500,56076,19,3850,11,7375,1
250,176090,0,2500,2500,2500,5300,9,2200,6,7344,0
251,15221,0,2500,2500,2500,4425,9,0,0,7361,1
252,92875,0,50000,2500,2500,60990,14,0,0,7344,1
253,88702,0,7500,2500,2500,9620,13,50,1,7406,0
254,62882,0,2500,2500,2500,1925,8,0,0,7375,0
255,30015,0,2500,2500,2500,5875,32,0,0,7341,0
256,87293,0,17500,2500,2500,21584,17,1050,2,7406,0
257,45225,0,17500,2500,2500,14711,15,0,0,7339,1
258,96098,0,2500,2500,2500,12500,4,0,0,7339,1
259,236274,0,50000,2500,2500,61515,12,0,0,7375,0
260,423540,0,2500,2500,2500,8534,14,2100,9,7375,0
261,25279,0,7500,2500,2500,14938,26,0,0,7327,1
262,198137,0,2500,2500,2500,6303,6,500,1,7323,0
263,402312,0,50000,2500,2500,77122,18,250,3,7375,1
264,149733,0,2500,2500,2500,605,3,500,1,7323,0
265,70730,0,2500,2500,2500,1319,12,0,0,7316,0
266,164613,0,7500,2500,2500,11095,13,0,0,7375,0
267,47557,0,7500,2500,2500,10267,18,200,3,7345,0
268,35065,0,2500,2500,2500,5400,5,1400,3,7311,1
269,105769,0,17500,2500,2500,23097,16,0,0,7345,1
270,35900,0,2500,2500,2500,0,0,0,0,7304,0
271,43088,0,2500,2500,2500,4000,1,0,0,7345,0
272,58703,0,32500,2500,2500,46473,34,950,4,7296,1
273,70354,0,50000,2500,2500,120907,22,0,0,7290,1
274,145726,0,17500,2500,2500,19019,15,0,0,7292,1
275,121639,0,50000,2500,2500,67286,7,0,0,7288,1
276,70676,0,50000,2500,2500,74993,15,0,0,7288,1
277,18263,0,2500,2500,2500,2100,4,1000,2,7285,0
278,51250,0,2500,2500,2500,0,0,0,0,7283,0
279,1704838,0,2500,2500,2500,17108,32,4823,23,7283,1
280,12895,0,2500,2500,2500,0,0,0,0,7277,0
281,120073,0,17500,2500,2500,12423,29,0,0,7276,1
282,2003,0,2500,2500,2500,980,2,0,0,7274,0
283,22652,0,50000,2500,2500,57642,14,0,0,7271,1
284,168515,0,2500,2500,2500,4600,4,0,0,7269,0
285,44873,0,32500,2500,2500,38740,18,850,2,7267,1
286,190542,1745,2500,2500,2500,8487,9,0,0,7267,0
287,156230,0,2500,2500,2500,5300,8,1300,5,7260,1
288,79211,0,32500,2500,2500,36776,14,0,0,7260,1
289,98006,0,32500,2500,2500,46349,20,2309,3,7332,1
290,33982,0,50000,2500,2500,68320,17,0,0,7255,1
291,62998,0,7500,2500,2500,11326,24,0,0,7253,0
292,137908,0,50000,2500,2500,57713,19,0,0,7250,1
293,45586,0,32500,2500,2500,37459,15,0,0,7246,0
294,568174,0,50000,2500,2500,67121,16,1000,2,7243,1
295,145993,0,50000,2500,2500,95082,17,500,1,7229,1
296,294881,0,50000,2500,2500,84800,20,0,0,7279,1
297,12195,0,2500,2500,2500,3875,17,0,0,7229,0
298,16622,0,2500,2500,2500,0,0,0,0,7229,0
299,141813,0,32500,2500,2500,39743,14,0,0,7254,0
300,58139,500,32500,2500,2500,38408,16,150,1,7227,1
301,238868,0,17500,2500,2500,20521,16,0,0,7220,0
302,149286,0,32500,2500,2500,42141,30,2400,13,7222,1
303,35945,0,2500,2500,2500,0,0,0,0,7220,0
304,28218,0,2500,2500,2500,750,4,750,4,7232,1
305,7061,0,2500,2500,2500,7100,12,0,0,7218,0
306,217846,0,32500,2500,2500,49198,20,0,0,7215,1
307,364387,0,32500,2500,2500,28200,27,0,0,7213,0
308,125465,0,17500,2500,2500,14750,9,0,0,7206,0
309,94222,0,32500,2500,2500,52081,24,0,0,7201,1
310,123370,0,2500,2500,2500,7478,16,0,0,7197,0
311,383030,2998,2500,2500,2500,8001,25,3226,15,7326,1
312,112969,0,7500,2500,2500,7572,7,0,0,7192,0
313,46430,0,2500,2500,2500,2100,4,500,1,7194,0
314,179433,0,32500,2500,2500,30476,15,0,0,7187,0
315,20746,0,32500,2500,2500,37534,17,0,0,7185,1
316,61455,0,32500,2500,2500,28765,17,0,0,7183,1
317,714717,0,50000,2500,2500,119162,20,1750,4,7183,1
318,179559,0,17500,2500,2500,17819,12,1000,2,7173,1
319,119977,2556,2500,2500,2500,9275,16,1400,4,7226,1
320,16928,0,2500,2500,2500,1000,1,0,0,7173,0
321,65316,0,2500,2500,2500,3917,10,0,0,7254,0
322,766419,0,2500,2500,2500,11398,3,398,1,7162,1
323,52060,0,2500,2500,2500,6500,3,0,0,7162,1
324,84700,0,17500,2500,2500,13544,17,0,0,7162,0
325,205523,0,17500,2500,2500,32404,20,1000,2,7159,1
326,20457,0,32500,2500,2500,51399,16,0,0,7193,1
327,278727,0,2500,2500,2500,21666,19,9166,16,7155,1
328,50325,0,17500,2500,2500,11930,14,0,0,7155,0
329,455228,0,2500,2500,2500,258,2,258,2,7141,1
330,73849,0,7500,2500,2500,11793,21,0,0,7250,0
331,388455,0,50000,2500,2500,114329,26,6078,8,7164,1
332,138999,0,50000,2500,2500,63738,29,600,4,7153,1
333,65573,0,2500,2500,2500,3875,23,0,0,7130,0
334,172288,0,50000,2500,2500,66879,10,0,0,7130,1
335,47958,0,2500,2500,2500,0,0,0,0,7130,0
337,133002,0,17500,2500,2500,15672,21,150,1,7117,0
338,42363,0,2500,2500,2500,0,0,0,0,7120,1
339,133370,0,32500,2500,2500,44299,18,0,0,7101,1
340,278457,6727,32500,2500,2500,57313,27,1000,2,7101,1
341,105166,1374,32500,2500,2500,37663,22,0,0,7120,0
342,34956,0,2500,2500,2500,0,0,0,0,7172,0
343,46963,0,2500,2500,2500,1500,5,0,0,7117,0
344,55788,0,17500,2500,2500,24831,12,0,0,7314,0
345,174910,0,32500,2500,2500,63960,20,200,1,7110,1
346,13812,0,7500,2500,2500,15149,39,0,0,7110,1
347,38718,0,2500,2500,2500,0,0,0,0,7314,0
348,112501,0,2500,2500,7500,19140,11,0,0,7101,0
349,54005,0,2500,2500,2500,1500,5,0,0,7099,0
350,66863,0,32500,2500,2500,36532,9,0,0,7099,1
351,93045,0,17500,2500,2500,17636,15,0,0,7092,0
352,197328,0,50000,2500,2500,60447,12,0,0,7092,0
353,151301,0,32500,2500,2500,37772,14,0,0,7092,0
354,87938,0,2500,2500,2500,11268,2,0,0,7085,1
355,15283,0,2500,2500,2500,1250,3,0,0,7132,0
356,105423,0,17500,2500,2500,20802,14,0,0,7078,0
357,312512,0,2500,2500,2500,100,1,100,1,7078,0
358,13680,0,2500,2500,2500,0,0,0,0,7073,1
359,41279,0,17500,2500,2500,14462,20,1650,6,7064,0
360,25313,0,7500,2500,2500,7491,13,0,0,7064,0
361,148691,0,2500,2500,2500,3000,3,1000,2,7064,0
362,224081,0,32500,2500,2500,40108,15,150,2,7059,0
363,51088,0,2500,2500,2500,0,0,0,0,7057,0
364,95305,0,2500,2500,2500,3189,13,0,0,7054,0
365,22080,0,2500,2500,2500,12200,47,1950,9,7050,1
366,11660,0,2500,2500,2500,140,1,0,0,7050,0
367,222227,0,32500,2500,2500,38127,14,500,1,7047,1
368,16200,0,2500,2500,2500,160,1,0,0,7043,0
369,38227,0,7500,2500,2500,8612,13,0,0,7036,0
370,80214,0,2500,2500,2500,500,1,500,1,7029,1
371,53985,0,2500,2500,2500,1000,1,0,0,7029,1
372,14414,0,2500,2500,2500,0,0,0,0,7024,0
373,44457,0,2500,2500,2500,225,3,0,0,7026,0
374,161813,0,50000,2500,2500,126941,20,0,0,7026,1
375,138020,0,2500,2500,2500,6568,15,0,0,7024,1
376,107707,0,17500,2500,2500,19407,25,2211,12,7024,0
377,95656,0,50000,2500,2500,62666,27,0,0,7019,1
378,149678,0,2500,2500,2500,0,0,0,0,7022,0
379,15113,0,7500,2500,2500,10574,19,0,0,7017,1
380,231,0,2500,2500,2500,29900,24,5300,15,7015,1
381,22380,0,2500,2500,2500,300,2,200,1,7010,0
382,146263,0,17500,2500,2500,20853,21,350,1,7001,1
383,24598,0,2500,2500,2500,0,0,0,0,7040,0
384,76150,0,32500,2500,2500,36907,17,0,0,6998,0
385,377252,0,50000,2500,2500,230629,30,6393,13,6996,1
386,167670,0,2500,17500,2500,15907,13,0,0,6994,0
387,86853,0,32500,2500,2500,42293,21,500,1,6980,0
388,479989,0,32500,2500,2500,66516,26,1600,6,6980,0
389,28193,0,50000,2500,32500,103456,32,0,0,6980,1
390,67086,0,17500,2500,2500,18157,16,0,0,6974,0
391,35969,0,7500,2500,2500,11665,21,0,0,6977,0
393,53790,0,32500,2500,2500,28717,19,0,0,8296,1
394,198859,0,17500,2500,2500,17855,14,500,1,8296,0
395,91939,0,2500,2500,2500,1244,8,0,0,8296,0
396,88449,0,7500,2500,2500,11402,18,1450,5,8296,0
397,54842,0,17500,2500,2500,20792,15,0,0,8296,1
398,11189,0,2500,7500,2500,9044,20,0,0,8296,1
399,16999,0,2500,2500,2500,140,1,0,0,8296,0
400,114713,0,2500,2500,2500,7142,18,0,0,8296,0
401,1612,0,2500,2500,2500,955,9,0,0,8296,0
402,97763,0,2500,2500,2500,2000,9,0,0,8296,0
403,15129,0,2500,2500,2500,0,0,0,0,8296,0
404,15669,0,2500,2500,2500,1205,4,0,0,8296,0
405,26720,0,2500,2500,2500,913,3,0,0,8296,0
406,205292,0,7500,2500,2500,5471,13,0,0,8296,0
407,56635,0,2500,2500,2500,1024,8,359,2,8296,0
408,127297,0,7500,2500,2500,8510,12,0,0,8296,0
409,8927,0,2500,2500,2500,0,0,0,0,8296,0
410,507506,1952,50000,2500,2500,102279,32,4485,13,8296,1
411,145723,0,50000,2500,2500,59858,16,0,0,8296,1
412,6458,0,2500,2500,2500,0,0,0,0,8296,0
413,267640,0,2500,2500,2500,6000,3,0,0,8296,1
414,5581,0,2500,2500,2500,0,0,0,0,8296,0
415,10732,0,2500,2500,2500,1296,6,0,0,8296,0
416,620498,0,50000,2500,2500,25395,53,1750,14,8296,1
417,68963,0,32500,2500,2500,37723,15,0,0,8296,0
418,109640,0,32500,2500,2500,66983,38,5500,17,8296,1
419,225802,0,50000,2500,2500,74340,16,200,2,8296,1
420,58452,0,2500,2500,2500,0,0,0,0,8296,0
421,109087,0,7500,2500,2500,10462,16,0,0,8296,1
422,68286,0,17500,2500,2500,22831,13,0,0,8296,1
423,68464,0,2500,2500,2500,240,3,0,0,8296,1
424,131960,2000,17500,2500,2500,16081,8,0,0,8296,0
425,199956,1178,2500,2500,2500,0,0,0,0,8296,0
426,529886,7210,2500,2500,2500,23866,26,7741,15,8296,1
427,23529,0,2500,2500,2500,500,1,0,0,8296,0
428,190295,0,32500,2500,2500,3501,15,0,0,8296,0
429,21083,0,50000,2500,2500,129330,16,1000,2,8296,1
430,117860,0,50000,2500,2500,62758,15,0,0,8296,1
431,118844,0,32500,2500,2500,28731,17,400,2,8289,1
432,60493,0,2500,2500,2500,9000,1,0,0,8289,0
433,491987,0,50000,2500,2500,68007,23,700,2,8289,1
434,87692,0,2500,2500,2500,2310,6,500,1,8289,0
435,78028,0,32500,2500,2500,36269,24,0,0,8289,0
436,251286,0,2500,2500,2500,0,0,0,0,8289,1
437,17575,0,2500,2500,2500,0,0,0,0,8289,1
438,50431,0,2500,2500,2500,1000,1,0,0,8289,1
439,153597,0,50000,2500,2500,56567,18,0,0,8289,0
440,74579,0,2500,2500,2500,4600,11,600,8,8289,1
441,2494,0,2500,2500,2500,0,0,0,0,8289,0
442,96031,0,32500,2500,2500,46588,21,0,0,8289,0
443,353678,0,32500,2500,2500,141230,28,1450,5,8289,1
444,50052,0,32500,2500,2500,49383,13,0,0,8289,1
445,13381,0,2500,2500,2500,1000,8,0,0,8289,0
446,25123,0,2500,2500,2500,2030,6,0,0,8289,0
447,132555,0,17500,2500,2500,24775,31,350,1,8289,1
448,14528,0,2500,2500,2500,6000,7,3000,6,8289,0
449,24038,0,7500,2500,2500,6290,14,0,0,8289,0
450,192104,0,17500,2500,2500,39010,53,1750,8,8289,1
451,106773,0,2500,2500,2500,12900,10,1400,8,8289,1
452,229397,0,17500,2500,2500,22873,13,0,0,8289,1
453,14732,0,2500,2500,2500,100,1,0,0,8289,0
454,383129,0,17500,2500,2500,23608,16,500,1,8289,0
455,11431,0,2500,2500,2500,1759,4,759,3,8289,0
456,175461,0,32500,2500,2500,40997,14,0,0,8289,1
457,52953,0,2500,2500,2500,500,1,0,0,8289,0
458,182291,0,17500,2500,2500,24155,22,0,0,8289,0
459,198317,0,50000,2500,2500,61714,16,0,0,8289,1
460,49053,0,2500,2500,2500,6498,18,950,5,8289,0
461,22772,0,2500,2500,2500,0,0,0,0,8289,0
462,34170,0,17500,2500,2500,15476,20,150,1,8289,1
463,158483,0,7500,2500,2500,9018,11,0,0,8289,0
464,43285,0,32500,2500,2500,28613,14,0,0,8252,1
465,52980,0,17500,2500,2500,17078,14,0,0,8237,0
